,date,headline,sponsored
0,"August 10, 2018","Cameroon’s Silicon Mountain: Its History, Resilience and Future",False
1,"August 10, 2018",Can An Uptick In M&A Activity Affect The African Tech Ecosystem?,False
2,"August 9, 2018","Blogs, Websites and Social Media Posts; A legal Perspective",False
3,"August 8, 2018",Tecno Mobile Is Set To Thrill Fans with A Mega Spark Party,True
4,"August 8, 2018",What You Should Know About Building An Edtech Startup In Nigeria,False
5,"August 8, 2018",Artificial Intelligence In Nigeria Is An Infant Space With Huge Potential,False
6,"August 8, 2018",Back to the Future … The Future of Work,False
7,"August 8, 2018",The Aspen Network of Development Entrepreneurs announces data visualization tool to identify market gaps in emerging market economies,True
8,"August 6, 2018",Outwork Wants To Bring A New Dimension To On-Demand Task Outsourcing,False
9,"August 3, 2018",The Challenges Nigerian Fintech Startups Want Out Of Their Way,False
10,"August 3, 2018",Nigeria Has A Fake News Problem It’s Not Paying Attention To,False
11,"August 2, 2018",Quidax Launches in Nigeria,True
12,"August 1, 2018",Nigeria’s Tech Entrepreneurs Want Government To Prioritize Fixing Electricity,False
13,"July 31, 2018","GeroCare, Subscription-Based Doctor Home Visits For The Elderly In Nigeria",False
14,"July 31, 2018",Building Kickass Developer Internship Programs: A Guide From Hotels.ng’s Mark Essien,False
15,"July 30, 2018",Startups Increasing Access To Clean Water In Africa,False
16,"July 30, 2018",The Absence Of Customer Data Is Fragmenting The Micro-Lending Experience in Nigeria,False
17,"July 30, 2018",Meet the best android smartphone for photography: Infinix Note 5,True
18,"July 30, 2018",LASG Announces Yaba ICT Cluster project Take-Off,True
19,"July 27, 2018",Who’s Doing Insurtech In Nigeria?,False
20,"July 27, 2018",Has Andela Disrupted Nigeria’s Computer Science Curriculum?,False
21,"July 27, 2018",Take Note of all the spectacular features on the new Infinix Note 5,True
22,"July 26, 2018",Fantastic Francophone African Startups And Where To Find Them,False
23,"July 26, 2018",How Kenya Is Flying The Hardware Flag In East Africa,False
24,"July 26, 2018",First Impressions – Infinix Note 5 is a smartphone back from the future,True
25,"July 25, 2018",Data Costs Across Some Major Cities In Africa,False
26,"July 23, 2018",The Major Telcos Funding Startups In West Africa,False
27,"July 23, 2018",What’s Happening With Renewable Energy In North Africa?,False
28,"July 23, 2018",Infinix Note 5: First Impressions and Unboxing,True
29,"July 23, 2018",Spectranet World Cup Promo: First Set of Winners Emerge,True
30,"July 23, 2018",Huawei’s academic partnerships aid development of digital economy,True
31,"July 21, 2018",Buy and Sell Gift Cards in Nigeria,True
32,"July 20, 2018",What’s Going On With Auto Rickshaw (Tricycle) Hailing In Nigeria?,False
33,"July 20, 2018",Okada-On-Demand: A Gokada Review,False
34,"July 19, 2018",Africa’s Infrastructure Deficit & Its Impact On Innovation,False
35,"July 19, 2018",Why ‘Okada-On-Demand’ Has The Best Chance Of Disrupting Transportation In Nigeria,False
36,"July 18, 2018",The Road To Africa’s Next Tech Unicorn,False
37,"July 18, 2018",What African Cities Are The Best To Launch A Startup?,False
38,"July 18, 2018",The World Cup has Ended And Opera News Has Given Out The Second Of The Three Cars In Its Promo,True
39,"July 18, 2018",Banking On Fintech: You Are Invited To Stears’ Inaugural Summit,False
40,"July 17, 2018",Disruption – How Infinix Mobility smartphone cameras have transformed smartphone photography,True
41,"July 17, 2018",Why Africa Needs More Agritech Entrepreneurs,False
42,"July 17, 2018",An Overview Of What Social Innovation Looks Like In East Africa,False
43,"July 16, 2018",Senegal And Its Growing Fintech Industry,False
44,"July 16, 2018",Africa’s Broadband Internet Speeds,False
45,"July 16, 2018",Moving From Financial Access To Health,False
46,"July 16, 2018",Microsoft Windows 10 Professional will be great for Gaming,True
47,"July 16, 2018",Dreamworks Integrated System launches a new improved website,True
48,"July 14, 2018",Boomplay Announces 10 Million Installations on Google Play store & 29 Million Total User Base,True
49,"July 13, 2018",There’s A Font Inspired By Lagos’ Danfos And It’s Brilliant,False
50,"July 13, 2018",Rave Of The Moment – Vskit Is Becoming Popular Among Nigerian Youths,True
51,"July 13, 2018",Ventures Platform and USNC’s Corporate Leaders Fund Is Encouraging Much Needed Local Investment,False
52,"July 11, 2018",Ethiopian Tech Entrepreneurs Are Gradually Transforming Its Education System,False
53,"July 10, 2018",The Challenges Liberia’s Health Tech Innovators Are Confronting,False
54,"July 10, 2018",Uber Is Forcing Its Drivers To Take Work Breaks And It’s Awesome,False
55,"July 9, 2018",A Quick Look At The Different Sectors Drone Tech Is Transforming In Africa,False
56,"July 9, 2018",Why Technology Cannot Solve Any Of Nigeria’s Transportation Problems,False
57,"July 6, 2018",What Chad’s Startup Community Can Do About Its Food Insecurity,False
