,date,headline,sponsored
0,"August 24, 2018",How Is Technology Helping Cross-Border Logistics In Africa?,False
1,"August 20, 2018",How Off-Grid Energy Startups Are Using Mobile Money To Increase Access To Electricity In Africa,False
2,"August 20, 2018",The World Is Leaving Africa Behind In Electric Vehicle Adoption,False
3,"August 17, 2018",Key Insights On Digital Activities Across Some North African Countries,False
4,"August 15, 2018",Africa’s ‘API Economy’ Has A Lot To Offer Its Ecosystem But It’s Not Quite There Yet,False
5,"August 15, 2018",World Cup Promo: Spectranet Rewards Final Batch of Winners,True
6,"August 15, 2018","Beyond The Civil War, Libya Has An Emerging Startup Ecosystem",False
7,"August 15, 2018",Moving a Notch Higher – Infinix unveils Hot S3X; The first and biggest notch screen smartphone with A.I Selfie camera in Africa,True
8,"August 14, 2018",The Economic Impact Of Recent Internet Shutdowns In Africa,False
9,"August 14, 2018",Telco Customer Care Agents in Nigeria Are Underpaid With ‘Okay’ Benefits,False
10,"August 13, 2018",Wallet.ng: The Fintech Startup Building Mobile Payment Solutions for Nigerian Millennials,False
11,"August 10, 2018","Cameroon’s Silicon Mountain: Its History, Resilience and Future",False
12,"August 10, 2018",Can An Uptick In M&A Activity Affect The African Tech Ecosystem?,False
13,"August 9, 2018","Blogs, Websites and Social Media Posts; A legal Perspective",False
14,"August 8, 2018",Tecno Mobile Is Set To Thrill Fans with A Mega Spark Party,True
15,"August 8, 2018",What You Should Know About Building An Edtech Startup In Nigeria,False
16,"August 8, 2018",Artificial Intelligence In Nigeria Is An Infant Space With Huge Potential,False
17,"August 8, 2018",Back to the Future … The Future of Work,False
18,"August 8, 2018",The Aspen Network of Development Entrepreneurs announces data visualization tool to identify market gaps in emerging market economies,True
19,"August 6, 2018",Outwork Wants To Bring A New Dimension To On-Demand Task Outsourcing,False
20,"August 3, 2018",The Challenges Nigerian Fintech Startups Want Out Of Their Way,False
21,"August 3, 2018",Nigeria Has A Fake News Problem It’s Not Paying Attention To,False
22,"August 2, 2018",Quidax Launches in Nigeria,True
23,"August 1, 2018",Nigeria’s Tech Entrepreneurs Want Government To Prioritize Fixing Electricity,False
24,"July 31, 2018","GeroCare, Subscription-Based Doctor Home Visits For The Elderly In Nigeria",False
25,"July 31, 2018",Building Kickass Developer Internship Programs: A Guide From Hotels.ng’s Mark Essien,False
26,"July 30, 2018",Startups Increasing Access To Clean Water In Africa,False
27,"July 30, 2018",The Absence Of Customer Data Is Fragmenting The Micro-Lending Experience in Nigeria,False
28,"July 30, 2018",Meet the best android smartphone for photography: Infinix Note 5,True
29,"July 30, 2018",LASG Announces Yaba ICT Cluster project Take-Off,True
30,"July 27, 2018",Who’s Doing Insurtech In Nigeria?,False
31,"July 27, 2018",Has Andela Disrupted Nigeria’s Computer Science Curriculum?,False
32,"July 27, 2018",Take Note of all the spectacular features on the new Infinix Note 5,True
33,"July 26, 2018",Fantastic Francophone African Startups And Where To Find Them,False
34,"July 26, 2018",How Kenya Is Flying The Hardware Flag In East Africa,False
